25050,392637649,Austadjee57,Shakeel,,,en,,2011-10-17 10:43:13,2011-10-17 10:43:13,2013-09-18 23:45:04,0,0,1,0,0,0,,,,,,,,male,ambiguous
279256,920438665,kiyotaka0628,きいたん,,,ja,,2012-11-02 05:38:23,2012-11-02 05:38:23,2013-10-01 08:00:33,0,0,2,26,0,0,,,,,,,,male,female
491481,596652385,SUPERRUS11,Рассохин Руслан,,http://t.co/10FokMA1tg,ru,г. Одинцово,2012-06-01 17:33:34,2012-06-01 17:33:34,2013-10-11 19:22:29,0,0,0,0,7,0,385065216024662016,http://t.co/SWBzukaFOh,,,,2013-10-01 15:34:36,243.798055555556,female,male
630966,1387453568,Al9mt_2,3ks 8anoonh,,,en,,2013-04-28 17:20:14,2013-04-28 17:20:14,2013-10-18 16:07:46,0,0,7,8,25,0,382538098166337536,.,,,,2013-09-24 16:12:44,575.917222222222,male,undefinable
331154,854857200,q16y63z3200,y77281z4240 wr3b6s6,,,ru,,2012-09-30 15:08:47,2012-09-30 15:08:47,2013-10-03 21:00:38,0,0,0,0,0,0,,,,,,,,male,undefinable
81347,214039487,shivammylove,SHIVAM SONI,,,en,,2010-11-10 12:17:43,2010-11-10 12:17:43,2013-09-21 16:52:24,0,0,0,1,0,0,,,,,,,,male,male
153646,1200991981,waleedale78,waleedale,,,ar,,2013-02-20 13:13:30,2013-02-20 13:13:30,2013-09-25 05:00:25,0,0,0,0,1,0,304329633451610112,http://t.co/eH23zvM6,,,,2013-02-20 20:40:13,5192.33666666667,female,male_hidden
405263,318033162,Gaga4everLady,LadyGaga4ever,,,de,,2011-06-15 21:17:59,2011-06-15 21:17:59,2013-10-07 11:07:28,0,0,1,1,0,0,,,,,,,,male,female_hidden
108261,849775320,MSsmIkA_,♥MiLLcÉnT MaGaShULE♥,♥IaM a LoVeR Not a fiGhter But i'll fiGhT FoR WhAT i ♥ lOvE☺,http://t.co/PFxl1ZSNf5,en,VryburG teXas,2012-09-27 19:00:07,2012-09-27 19:00:07,2013-09-23 00:30:15,0,0,29,24,107,0,293276521303519232,Rt' @rapstar_shaun @cocrecker hahaha serious nyena,,,,2013-01-21 08:39:06,5871.8525,female,undefinable
128339,306341222,TTagieva,Гуля,I love to dance,http://t.co/i8WDU8VwVT,ru,Saransk,2011-05-27 18:16:52,2011-05-27 18:16:52,2013-09-23 23:00:41,0,0,0,8,98,0,191576310718529536,"RT @karcher_spb: Оригинальная минимойка Karcher всего за   2990р , может работать даже из ведра или бо",,,,2012-04-15 17:18:46,12629.6986111111,female,female
609591,1416397124,bepschenk57,dep schenk,,,nl,,2013-05-09 20:28:19,2013-05-09 20:28:19,2013-10-17 14:52:52,0,0,0,0,0,0,,,,,,,,male,undefinable
